Problem	Vertices	Edges	Greedy	Greedy2		Greedy3		Semi-Greedy	Randomised	Randomised2	Randomised3	Randomised4
G43			1000		9990	6188	6216		6413		6284		959			5004		5016		6190
G44			1000		9990	6136	6195		6389		6273		962			4988		5010		6174
G45			1000		9990	6177	6190		6388		6287		874			4976		5007		6167
G46			1000		9990	6134	6201		6406		6279		909			5001		5006		6159
G47			1000		9990	6144	6206		6412		6276		867			4998		5046		6175
G48			3000		6000	6000	6000		6000		6000		8			3001		2989		4906
G49			3000		6000	6000	6000		6000		6000		8			2999		3003		4887
G50			3000		6000	5854	5880		5880		5835		8			3000		3006		4919
G51			1000		5909	3650	3603		3691		3678		164			2959		2967		3602
G52			1000		5916	3636	3601		3703		3681		179			2967		2991		3610
G53			1000		5914	3647	3627		3712		3674		153			2959		2991		3596
G54			1000		5916	3637	3614		3705		3678		154			2938		2995		3605
